StopNum,Type,Day,Longitude,Latitude,NumOfPackages
3364,Delivery,Mon,29.3157247,40.9212334,1
3365,Delivery,Mon,29.172929,40.9799531,1
3366,Delivery,Mon,29.1063388,40.9829735,1
3367,Delivery,Mon,29.4022488,40.8896243,1
3368,Delivery,Mon,29.2923388,40.9252776,1
3369,Delivery,Mon,29.3049057,40.9301115,1
3370,Delivery,Mon,29.2947544,40.9322723,1
3371,Delivery,Mon,29.2907127,40.9362172,1
3372,Delivery,Mon,29.1348427,40.99411,1
3373,Delivery,Mon,29.3251664,40.9318582,1
3374,Delivery,Mon,29.3744808,40.8091875,1
3375,Delivery,Mon,29.3521601,40.8186557,2
3376,Delivery,Mon,29.3538873,40.821705,1
3377,Delivery,Mon,29.3501859,40.8206355,1
3378,Delivery,Mon,29.4171384,40.8109956,1
3379,Delivery,Mon,29.3842616,40.8194605,1
3380,Delivery,Mon,29.4526202,40.8234948,1
3381,Delivery,Mon,29.2444268,40.9737341,4
3382,Delivery,Mon,29.2360592,40.9633474,1
3383,Delivery,Mon,29.4541706,40.8242295,1
3384,Delivery,Mon,29.4222772,40.8605344,2
3385,Delivery,Mon,29.1968724,40.9917777,1
3386,Delivery,Mon,29.2187224,40.9756979,1
3387,Delivery,Mon,29.2290847,40.9851169,1
3388,Delivery,Mon,29.2298234,40.9808511,1
3389,Delivery,Mon,29.3025196,40.8653013,1
3390,Pickup,Mon,29.4212505,40.8616159,19
3391,Delivery,Mon,29.435623,40.8393542,3
3392,Pickup,Mon,29.2030552,41.0116689,2
3393,Delivery,Mon,29.1193692,41.0259986,1
3394,Delivery,Mon,29.1136071,41.0290692,8
3395,Delivery,Mon,29.1193448,41.0337461,1
3396,Delivery,Mon,29.1172175,41.0345974,1
3397,Delivery,Mon,29.1143053,41.0319405,1
3398,Delivery,Mon,29.1167176,41.0347277,1
3399,Delivery,Mon,29.4332995,40.8365227,1
3400,Delivery,Mon,29.4379133,40.836033,1
3401,Delivery,Mon,29.281973,40.8600482,1
3402,Delivery,Mon,29.2754446,40.8952581,1
3403,Delivery,Mon,29.2828372,40.8695097,1
3404,Delivery,Mon,29.316927,40.8813044,1
3405,Pickup,Mon,29.1193531,41.0259914,1
3406,Delivery,Mon,29.214884,40.9630616,1
3407,Pickup,Tue,29.3854241,40.8761431,15
